"","date","soe","total_arrivals"
"245",2021-06-01,"Perak",1
"246",2021-06-01,"Perlis",7248
"247",2021-06-01,"Pulau Pinang",347
"248",2021-06-01,"Sabah",4
"249",2021-06-01,"Sarawak",811
"250",2021-06-01,"Selangor",4170
"251",2021-06-01,"Terengganu",0
"252",2021-06-01,"W.P. Labuan",0
"253",2021-07-01,"Johor",197
"254",2021-07-01,"Kedah",17481
"255",2021-07-01,"Kelantan",3
"256",2021-07-01,"Melaka",2
"257",2021-07-01,"Negeri Sembilan",0
"258",2021-07-01,"Pahang",0
"259",2021-07-01,"Perak",1
"260",2021-07-01,"Perlis",6961
"261",2021-07-01,"Pulau Pinang",162
"262",2021-07-01,"Sabah",5
"263",2021-07-01,"Sarawak",976
"264",2021-07-01,"Selangor",5528
"265",2021-07-01,"Terengganu",0
"266",2021-07-01,"W.P. Labuan",15
"267",2021-08-01,"Johor",185
"268",2021-08-01,"Kedah",16343
"269",2021-08-01,"Kelantan",0
"270",2021-08-01,"Melaka",0
"271",2021-08-01,"Negeri Sembilan",0
"272",2021-08-01,"Pahang",0
"273",2021-08-01,"Perak",3
"274",2021-08-01,"Perlis",7382
"275",2021-08-01,"Pulau Pinang",257
"276",2021-08-01,"Sabah",7
"277",2021-08-01,"Sarawak",702
"278",2021-08-01,"Selangor",6770
"279",2021-08-01,"Terengganu",0
"280",2021-08-01,"W.P. Labuan",9
"281",2021-09-01,"Johor",206
"282",2021-09-01,"Kedah",18833
"283",2021-09-01,"Kelantan",6
"284",2021-09-01,"Melaka",0
"285",2021-09-01,"Negeri Sembilan",0
"286",2021-09-01,"Pahang",0
"287",2021-09-01,"Perak",2
"288",2021-09-01,"Perlis",7743
"289",2021-09-01,"Pulau Pinang",267
"290",2021-09-01,"Sabah",2
"291",2021-09-01,"Sarawak",674
"292",2021-09-01,"Selangor",7276
"293",2021-09-01,"Terengganu",1
"294",2021-09-01,"W.P. Labuan",7
"295",2021-10-01,"Johor",306
"296",2021-10-01,"Kedah",19383
"297",2021-10-01,"Kelantan",0
"298",2021-10-01,"Melaka",0
"299",2021-10-01,"Negeri Sembilan",0
"300",2021-10-01,"Pahang",0
"301",2021-10-01,"Perak",7
"302",2021-10-01,"Perlis",7956
"303",2021-10-01,"Pulau Pinang",282
"304",2021-10-01,"Sabah",10
"305",2021-10-01,"Sarawak",570
"306",2021-10-01,"Selangor",10050
"307",2021-10-01,"Terengganu",0
"308",2021-10-01,"W.P. Labuan",0
"309",2021-11-01,"Johor",620
"310",2021-11-01,"Kedah",18318
"311",2021-11-01,"Kelantan",4
"312",2021-11-01,"Melaka",3
"313",2021-11-01,"Negeri Sembilan",0
"314",2021-11-01,"Pahang",0
"315",2021-11-01,"Perak",5
"316",2021-11-01,"Perlis",7404
"317",2021-11-01,"Pulau Pinang",366
"318",2021-11-01,"Sabah",35
"319",2021-11-01,"Sarawak",811
"320",2021-11-01,"Selangor",14754
"321",2021-11-01,"Terengganu",0
"322",2021-11-01,"W.P. Labuan",3
"323",2021-12-01,"Johor",3185
"324",2021-12-01,"Kedah",18257
"325",2021-12-01,"Kelantan",0
"326",2021-12-01,"Melaka",0
"327",2021-12-01,"Negeri Sembilan",0
"328",2021-12-01,"Pahang",0
"329",2021-12-01,"Perak",12
"330",2021-12-01,"Perlis",9208
"331",2021-12-01,"Pulau Pinang",366
"332",2021-12-01,"Sabah",28
"333",2021-12-01,"Sarawak",694
"334",2021-12-01,"Selangor",45375
"335",2021-12-01,"Terengganu",0
"336",2021-12-01,"W.P. Labuan",10
"337",2022-01-01,"Johor",4815
"338",2022-01-01,"Kedah",18605
"339",2022-01-01,"Kelantan",4
"340",2022-01-01,"Melaka",0
"341",2022-01-01,"Negeri Sembilan",0
"342",2022-01-01,"Pahang",0
"343",2022-01-01,"Perak",13
"344",2022-01-01,"Perlis",9168
"345",2022-01-01,"Pulau Pinang",266
"346",2022-01-01,"Sabah",40
"347",2022-01-01,"Sarawak",1008
"348",2022-01-01,"Selangor",42628
"349",2022-01-01,"Terengganu",0
"350",2022-01-01,"W.P. Labuan",12
"351",2022-02-01,"Johor",3236
"352",2022-02-01,"Kedah",16919
"353",2022-02-01,"Kelantan",15
"354",2022-02-01,"Melaka",0
"355",2022-02-01,"Negeri Sembilan",0
"356",2022-02-01,"Pahang",0
"357",2022-02-01,"Perak",13
"358",2022-02-01,"Perlis",8533
"359",2022-02-01,"Pulau Pinang",471
"360",2022-02-01,"Sabah",18
"361",2022-02-01,"Sarawak",778
"362",2022-02-01,"Selangor",38753
"363",2022-02-01,"Terengganu",0
"364",2022-02-01,"W.P. Labuan",17
"365",2022-03-01,"Johor",8338
"366",2022-03-01,"Kedah",20277
"367",2022-03-01,"Kelantan",14
"368",2022-03-01,"Melaka",13
"369",2022-03-01,"Negeri Sembilan",0
"370",2022-03-01,"Pahang",0
"371",2022-03-01,"Perak",8
"372",2022-03-01,"Perlis",10164
"373",2022-03-01,"Pulau Pinang",1619
"374",2022-03-01,"Sabah",30
"375",2022-03-01,"Sarawak",950
"376",2022-03-01,"Selangor",51030
"377",2022-03-01,"Terengganu",0
"378",2022-03-01,"W.P. Labuan",12
"379",2022-04-01,"Johor",435671
"380",2022-04-01,"Kedah",21177
"381",2022-04-01,"Kelantan",8
"382",2022-04-01,"Melaka",16
"383",2022-04-01,"Negeri Sembilan",6
"384",2022-04-01,"Pahang",41
"385",2022-04-01,"Perak",1241
"386",2022-04-01,"Perlis",10089
"387",2022-04-01,"Pulau Pinang",10484
"388",2022-04-01,"Sabah",1733
"389",2022-04-01,"Sarawak",3082
"390",2022-04-01,"Selangor",121109
"391",2022-04-01,"Terengganu",2
"392",2022-04-01,"W.P. Labuan",31
"393",2022-05-01,"Johor",709855
"394",2022-05-01,"Kedah",31734
"395",2022-05-01,"Kelantan",3846
"396",2022-05-01,"Melaka",2979
"397",2022-05-01,"Negeri Sembilan",2778
"398",2022-05-01,"Pahang",92
"399",2022-05-01,"Perak",2943
"400",2022-05-01,"Perlis",25309
"401",2022-05-01,"Pulau Pinang",24031
"402",2022-05-01,"Sabah",5174
"403",2022-05-01,"Sarawak",16045
"404",2022-05-01,"Selangor",212367
"405",2022-05-01,"Terengganu",0
"406",2022-05-01,"W.P. Labuan",28
"407",2022-06-01,"Johor",943173
"408",2022-06-01,"Kedah",43811
"409",2022-06-01,"Kelantan",8887
