"","country","total_arrival","latitude","longitude","name"
"185","SVK",14033,48.6667,19.5,"Slovakia"
"186","SVN",5490,46,15,"Slovenia"
"187","SWE",53494,62,15,"Sweden"
"188","SWZ",567,-26.5,31.5,"Eswatini"
"189","SYC",2595,-4.5833,55.6667,"Seychelles"
"190","SYR",20529,35,38,"Syrian Arab Republic"
"191","TCA",3,21.75,-71.5833,"Turks and Caicos Islands"
"192","TCD",770,15,19,"Chad"
"193","TGO",262,8,1.1667,"Togo"
"194","THA",5647418,15,100,"Thailand"
"195","TJK",3545,39,71,"Tajikistan"
"196","TKL",2,-9,-172,"Tokelau"
"197","TKM",5375,40,60,"Turkmenistan"
"198","TLS",6745,-8.55,125.5167,"Timor-Leste"
"199","TON",424,-20,-175,"Tonga"
"200","TTO",1158,11,-61,"Trinidad and Tobago"
"201","TUN",18392,34,9,"Tunisia"
"202","TUR",50414,39,35,"Türkiye"
"203","TUV",14,-8,178,"Tuvalu"
"204","TWN",639102,23.5,121,"Taiwan, Province of China"
"205","TZA",5973,-6,35,"Tanzania, United Republic of"
"206","UGA",4255,1,32,"Uganda"
"207","UKR",36714,49,32,"Ukraine"
"208","URY",2769,-33,-56,"Uruguay"
"209","USA",607643,38,-97,"United States of America"
"210","UZB",36853,41,64,"Uzbekistan"
"211","VAT",34,41.9,12.45,"Holy See"
"212","VCT",75,13.25,-61.2,"Saint Vincent and the Grenadines"
"213","VEN",2871,8,-66,"Venezuela, Bolivarian Republic of"
"214","VNM",878361,16,106,"Viet Nam"
"215","VUT",2970,-16,167,"Vanuatu"
"216","WSM",113,-13.5833,-172.3333,"Samoa"
"217","YEM",43725,15,48,"Yemen"
"218","ZAF",45266,-29,24,"South Africa"
"219","ZAR",23,-4.441931,15.266293,"Zaire"
"220","ZMB",2169,-15,30,"Zambia"
"221","ZWE",4687,-20,30,"Zimbabwe"
