"","country","total_arrivals","gender","arrivals"
"394","TUV",14,"Female",7
"395","CAF",13,"Male",9
"396","CAF",13,"Female",4
"397","IOT",10,"Male",3
"398","IOT",10,"Female",7
"399","PRK",9,"Male",8
"400","PRK",9,"Female",1
"401","SGS",7,"Male",5
"402","SGS",7,"Female",2
"403","ATA",6,"Male",3
"404","ATA",6,"Female",3
"405","AIA",4,"Male",3
"406","AIA",4,"Female",1
"407","BMU",4,"Male",0
"408","BMU",4,"Female",4
"409","GRL",4,"Male",2
"410","GRL",4,"Female",2
"411","CCK",3,"Male",2
"412","CCK",3,"Female",1
"413","MNP",3,"Male",2
"414","MNP",3,"Female",1
"415","TCA",3,"Male",0
"416","TCA",3,"Female",3
"417","ABW",2,"Male",0
"418","ABW",2,"Female",2
"419","ANT",2,"Male",0
"420","ANT",2,"Female",2
"421","GIB",2,"Male",0
"422","GIB",2,"Female",2
"423","MYT",2,"Male",0
"424","MYT",2,"Female",2
"425","NCL",2,"Male",2
"426","NCL",2,"Female",0
"427","REU",2,"Male",1
"428","REU",2,"Female",1
"429","SHN",2,"Male",2
"430","SHN",2,"Female",0
"431","TKL",2,"Male",2
"432","TKL",2,"Female",0
"433","BVT",1,"Male",0
"434","BVT",1,"Female",1
"435","COK",1,"Male",1
"436","COK",1,"Female",0
"437","GLP",1,"Male",1
"438","GLP",1,"Female",0
"439","HMD",1,"Male",0
"440","HMD",1,"Female",1
"441","PRI",1,"Male",0
"442","PRI",1,"Female",1
"443","SPM",1,"Male",0
"444","SPM",1,"Female",1
